condition,aug_tfidf_f1_mean,aug_tfidf_f1_sd,aug_st_f1_mean,aug_st_f1_sd,n_seeds
naive,0.5701904761904761,0.05293321186283141,0.888,0.06385167998601947,10
few_shot,0.5451428571428572,0.10524103996454687,0.9093333333333333,0.07970315296519075,10
self_critique,0.5153333333333333,0.08669800003389089,0.904,0.10304979019512492,10
realism_only,0.5351428571428571,0.12969444875472846,0.9106666666666666,0.09238673412333241,10
diversity_only,0.4954285714285714,0.14351018287060166,0.904,0.10304979019512492,10
full_classic,0.5332380952380952,0.08002449864240324,0.8733333333333333,0.0934919287465006,10
full_attrforge,0.5130476190476191,0.09155970534152708,0.872,0.09474071178292787,10
