condition,tfidf_word_f1_mean,tfidf_word_f1_sd,tfidf_char_f1_mean,tfidf_char_f1_sd,st_minilm_f1_mean,st_minilm_f1_sd
naive,0.3702222222222222,0.11550853744300557,0.38717460317460317,0.08430965492653975,0.5097142857142857,0.13371950878416525
few_shot,0.48977777777777776,0.15502767574505394,0.326,0.1180960061418957,0.648,0.08345324705752584
self_critique,0.48380952380952386,0.12491992900306789,0.444952380952381,0.1832082442767657,0.632,0.13543346049710986
realism_only,0.39276190476190476,0.1338740735680219,0.3681904761904762,0.1159004968499619,0.7201904761904762,0.21661213337791263
diversity_only,0.3742857142857143,0.09564911308771827,0.4162857142857143,0.1820182891809828,0.6601904761904762,0.14319547238183752
full_classic,0.612,0.05761944116355175,0.52,0.1297005097222915,0.6946666666666667,0.09573110489514078
full_attrforge,0.468,0.11258576977378429,0.4860952380952381,0.14044729323440427,0.6799999999999999,0.1014341603646862
