condition,n_seeds,acc_mean,acc_sd,macro_f1_mean,macro_f1_sd,attr_match_mean,attr_match_sd,disc_acc_mean,disc_acc_sd,near_dup_mean,near_dup_sd,combo_cov_mean,combo_cov_sd,pack_audit_mean,pack_audit_sd,pack_above_null_mean,pack_above_null_sd,ms_audit_mean,ms_audit_sd,ms_rel_real_mean,ms_rel_real_sd,auroc_mean,auroc_sd,hunter_new_mean,hunter_new_sd
naive,5,0.44,0.11401754250991379,0.3702222222222222,0.11550853744300557,0.0,0.0,0.5,0.0,0.0,0.0,0.6266666666666666,0.07601169500660918,0.45,0.14921670482891652,-0.1125,0.12022115038544591,0.23106986538178775,0.007948173373609334,0.23477017871209824,0.008075454063531369,1.0,0.0,3.6,0.5477225575051661
few_shot,5,0.5599999999999999,0.13416407864998736,0.48977777777777776,0.15502767574505394,0.0,0.0,0.5,0.0,0.0,0.0,0.6266666666666666,0.07601169500660918,0.3375,0.07126096406869613,-0.225,0.07126096406869613,0.23126178884426846,0.008285605535568698,0.234965175604104,0.008418289806459246,1.0,0.0,4,0.0
self_critique,5,0.54,0.13416407864998736,0.48380952380952386,0.12491992900306789,0.0,0.0,0.5,0.0,0.15,0.0,0.6533333333333333,0.10954451150103324,0.5625,0.08838834764831845,0.0,0.07654655446197431,0.23328436637283972,0.002241308921781347,0.23702014234352364,0.0022772008597755434,1.0,0.0,3.6,0.5477225575051661
realism_only,5,0.44,0.151657508881031,0.39276190476190476,0.1338740735680219,0.0,0.0,0.8333333333333334,0.3280836614171588,0.16999999999999998,0.044721359549995794,0.6533333333333333,0.10954451150103324,0.55,0.02795084971874737,-0.0125,0.05229125165837972,0.23323035858446314,0.002951480801855425,0.2369652696836549,0.0029987453109562427,1.0,0.0,2.6,1.140175425099138
diversity_only,5,0.46,0.08944271909999157,0.3742857142857143,0.09564911308771827,0.0,0.0,0.5,0.0,0.15,0.0,0.6533333333333333,0.10954451150103324,0.5875,0.11353688827865593,0.025,0.07126096406869613,0.23316219411219635,0.002635734297129829,0.23689601363717974,0.0026779424956706066,1.0,0.0,4,0.0
full_classic,5,0.6599999999999999,0.0547722557505166,0.612,0.05761944116355175,0.0875,0.08385254915624211,0.9333333333333333,0.10865337342004415,0.15,0.0,0.6533333333333333,0.10954451150103324,0.575,0.10269797953221865,0.0125,0.10269797953221865,0.23321969809268694,0.002111578590245155,0.23695443847658545,0.002145393048883341,1.0,0.0,3.8,0.4472135954999579
full_attrforge,5,0.52,0.13038404810405294,0.468,0.11258576977378429,0.0625,0.0625,0.9,0.14907119849998599,0.15,0.0,0.6533333333333333,0.10954451150103324,0.525,0.08385254915624211,-0.0375,0.07126096406869613,0.2340189833898095,0.003170780707149155,0.23776652339184418,0.003221557047451114,1.0,0.0,3.8,0.4472135954999579
