condition,distinct_1_mean,distinct_1_sd,distinct_2_mean,distinct_2_sd,distinct_3_mean,distinct_3_sd,self_bleu4_mean,self_bleu4_sd,n_seeds
naive,0.5337344532737197,0.017549446157933326,0.894146227657934,0.012226768942976626,0.9713204195786147,0.00849236175871364,0.147264985281976,0.020256979228172198,10
few_shot,0.5263201568295209,0.018846667556595177,0.8941717679109995,0.013130731108395693,0.9689290989459559,0.011073871746131636,0.14697691575700814,0.018014970627441958,10
self_critique,0.3608701955648146,0.020194165390652264,0.7809952443798174,0.021078524096232308,0.9256027730658482,0.010915025078073806,0.23019037878184895,0.019810154444570214,10
realism_only,0.3598443575990659,0.025636051402547887,0.7752272984989365,0.02653288933731017,0.9246790381446242,0.018458149820333697,0.23698593874630888,0.03820573222122088,10
diversity_only,0.361213432752769,0.0178021634045571,0.7750858893442465,0.019806507251020945,0.9213087762326729,0.010939640456617754,0.24223020697039285,0.025369090562645667,10
full_classic,0.3638457230179562,0.01795020804968516,0.7877443840477664,0.024969681722969064,0.9293598042684615,0.017665322038851038,0.22525097748888162,0.03239040397591544,10
full_attrforge,0.3708283454847785,0.026949082973485437,0.7916878893314601,0.030838679192773645,0.9354257935893189,0.01590060665173727,0.22077155458969844,0.029708774038632715,10
