condition,n_samples,pack_accuracy,pack_accuracy_above_null,pack_confidence,mode_seeking_ratio,mode_seeking_relative_to_real,n_banned_phrasings_found,coverage_auroc,n_coverage_holes
diversity_only,48,0.625,0.0,0.878125,0.2288802675372393,0.23254551702190807,4,1.0,5
few_shot,16,0.3125,-0.3125,0.878125,0.2306119031693266,0.23430488277104053,4,1.0,5
full_attrforge,48,0.5625,-0.0625,0.8875,0.2293586091700198,0.23303151873583888,4,1.0,5
full_classic,48,0.625,0.0,0.88125,0.23000089662665557,0.23368409167402696,4,1.0,5
naive,16,0.375,-0.25,0.884375,0.23066334470224795,0.23435714807987781,3,1.0,5
realism_only,48,0.5625,-0.0625,0.8875,0.2298676857879126,0.23354874761968045,2,1.0,5
self_critique,48,0.5,-0.125,0.88125,0.2298147115953704,0.2334949251074731,3,1.0,5
