condition,n_samples,pack_accuracy,pack_accuracy_above_null,pack_confidence,mode_seeking_ratio,mode_seeking_relative_to_real,n_banned_phrasings_found,coverage_auroc,n_coverage_holes
diversity_only,48,0.5625,0.0,0.88125,0.2344928857601486,0.23824801475374363,4,1.0,5
few_shot,16,0.4375,-0.125,0.875,0.22168496331466947,0.2252349884273223,4,1.0,5
full_attrforge,48,0.4375,-0.125,0.88125,0.2354834382669389,0.23925442979907477,4,1.0,5
full_classic,48,0.5,-0.0625,0.8875,0.2346581642207504,0.2384159399553645,4,1.0,5
naive,16,0.5,-0.0625,0.884375,0.22170064888650526,0.22525092518522455,4,1.0,5
realism_only,48,0.5625,0.0,0.884375,0.23496717768155123,0.23872990190491075,3,1.0,5
self_critique,48,0.625,0.0625,0.8875,0.23536591596019377,0.23913502551019605,4,1.0,5
